Id,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Album,Release_date,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,Genre_new,country_chart,date_chart,position_chart
2E1qavSCZMUI2BBcjRu8vo,56.0,intro: kwon ji yong  - kr ver.,G-DRAGON,single,k-pop,2045235.0,KWON JI YONG (KR EDITION),2017-06-09,0.745,0.8959999999999999,0,-3.208,1,0.15,0.141,0.0,0.122,0.703,140.031,k-pop,Taiwan,2017-06-10,85.0
2E532ozrMbRXwuZkpoegUP,39493.60000000001,happy,Skinnyfabs,single,n-a,31654.0,happy,2019-07-05,0.736,0.4320000000000001,3,-11.636,1,0.0269,0.537,0.0397,0.11,0.706,87.999,else,Indonesia,2020-11-05,19.0
2EEeOnHehOozLq4aS0n6SL,8018.649999999998,ispy,KYLE - Lil Yachty,single,pop rap,931301.0,iSpy (feat. Lil Yachty),2016-12-02,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,pop,USA,2017-03-08,2.0
2EK48RuuE8HHMDzD2rEDqL,895.2,siren,SUNMI,single,k-pop,1831794.0,WARNING,2018-09-12,0.61,0.905,9,-3.686,0,0.0369,0.0142,0.0,0.0592,0.521,122.012,k-pop,Taiwan,2018-09-26,22.0
2EWF3vWvzDqDpz9vvFEvNB,1017.55,promises,AGNEZ MO,single,indonesian pop,128818.0,PROMISES,2020-05-31,0.726,0.358,6,-9.936,0,0.153,0.318,0.0,0.0938,0.664,77.008,pop,Indonesia,2020-06-08,76.0
2Eeur20xVqfUoM3Q7EFPFt,464.75,the last great american dynasty,Taylor Swift,album,dance pop,33485486.0,folklore,2020-07-24,0.6859999999999999,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,pop,Global,2020-07-24,4.0
2EfF5luJhLalmsNpegIVUH,9402.050000000005,deen assalam,Sabyan Gambus,single,sholawat,550412.0,Sabyan,2018-05-13,0.468,0.636,3,-8.777000000000001,1,0.0321,0.863,0.0,0.113,0.602,180.06,else,Indonesia,2018-06-15,27.0
2EguWOoZhfqXSqDyA7AtLj,11985.85,hush,Yellow Claw - Weird Genius - Reikko,single,bass trap,930219.0,Hush,2020-07-31,0.64,0.674,2,-6.645,1,0.0321,0.158,2.12e-05,0.228,0.39,156.039,rap,Indonesia,2020-08-08,5.0
2EhvCzRw0C7anZHsj284oX,882.8499999999997,ah yeah - kr ver.,WINNER,single,k-pop,1873473.0,WE (KR EDITION),2019-07-03,0.799,0.722,7,-5.051,1,0.0387,0.359,0.0,0.178,0.88,128.012,k-pop,Taiwan,2019-05-17,45.0
2EjXfH91m7f8HiJN1yQg97,53.60000000000001,rockin around the christmas tree,Brenda Lee,album,adult standards,184890.0,Merry Christmas From Brenda Lee,1964-10-19,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,pop,USA,2019-12-25,2.0
2Ev8mNT9YHaUIELEKKf4ld,93.6,11 januari,Gigi,album,indonesian pop,282895.0,"Peace, Love And Respect",2007-05-16,0.315,0.55,0,-5.649,1,0.0289,0.189,0.00057,0.101,0.333,69.241,pop,Indonesia,2018-01-11,117.0
2F1NEmsJySpQzCkzTISTgK,4.0,sesuka hati,Karina Salim,single,n-a,10242.0,Sesuka Hati,2017-03-22,0.472,0.279,0,-8.029,1,0.0289,0.897,0.000471,0.12,0.287,77.832,else,Indonesia,2017-03-31,196.0
2F4x7TRtf5K3LNSpEuKGhY,23019.200000000004,asal kau bahagia,Armada,album,dangdut,1195940.0,Maju Terus Pantang Mundur,2017-07-28,0.516,0.555,4,-5.972,1,0.0309,0.0895,0.0,0.249,0.245,134.97799999999998,else,Malaysia,2017-08-09,8.0
2FRnf9qhLbvw8fu4IBXx78,585.8,last christmas,Wham!,single,dance pop,1366478.0,LAST CHRISTMAS,1984-11-29,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,pop,UK,2019-12-25,1.0
2FXd6kKCtBIc6UfN1gH1pA,25301.049999999992,fancy,TWICE,single,k-pop,6954833,FANCY YOU,2019-04-22,0.6970000000000001,0.8740000000000001,5,-2.15,0,0.045,0.0122,0.0,0.627,0.775,132.02200000000002,k-pop,Singapore,2019-04-23,3.0
2FY7b99s15jUprqC0M5NCT,5.6000000000000005,natural,Imagine Dragons,album,modern rock,30723081,Origins (Deluxe),2018-11-09,0.7040000000000001,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0,rock,Poland,2018-11-09,5.0
2FaquTc3FYvNm7RuO1gD6O,32023.149999999987,langit abu-abu,Tulus,album,indonesian jazz,2839763.0,Monokrom,2016-08-03,0.484,0.132,2,-10.7,1,0.058,0.91,0.0,0.106,0.371,100.183,jazz,Indonesia,2019-11-05,70.0
